scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,Karnataka,Education & Learning,,Central,"Training: Inductee Teachers will get training in three phases. Certification: Only after successful completion of all the three phases, a final training completion certificate shall be issued to the Inductee Teacher.",Photo (Size less than 30KB). All educational qualification certificates. ï»¿,
AICTE-PROFESSIONAL DEVELOPMENT SCHEME,Karnataka,Education & Learning,,Central,"Limit of Funding: Up to â‚¹ 1,50,000/- ï»¿ Disbursement of the Funds: The grant will be disbursed on reimbursement basis on receipt of claim form along with relevant documents. Total grant will be based on the recommended group of countries with fixed financial effect as follows:- Group A : North America, Australia, South America, New Zealand : â‚¹ 1,50,000/- Group B : Europe, Far-East Asia, Japan, China, Hong Kong, Taiwan, Korea,& Africa : â‚¹ 1,20,000/- Group C: Neighboring Countries, Gulf Countries & SE Asia:â‚¹ 1,00,000/- Group D : Within India: â‚¹  50,000 Group E : Conferences which are not covered under the above Groups (Group A-D) will be evaluated by the committee Amount recommended as per group of countries or Average of amount recommended by the experts, or, Actual expenditure incurred, whichever is lesser will be entitled. Reimbursement of the following expenditures will be granted: Registration fee for conference. Per Day, allowance (Days of the conference plus actual journey period) asper the central government rules. Total expenses towards travel from international airport to destination airport and back. Note: In case a candidate has availed grant in Group D, individual is still eligible to avail this grant for international support (with in a period of three years) minus the amount utilized for with in India. In case of the workshop/conference/seminar being held in online mode, AICTE will only be releasing the registration fee. Terms and conditions: The applicant has to perform the journey by Air India only, unless Air India gives an official certificate that there is no flight on the concerned sector (either of Air India itself or in collaboration with some other airlines). In case, journey is performed by any other airline, the airfare approved will not be released. Applicant should submit only one proposal at a time. In case an application of a candidate for a particular event (for a Particular date as well as a particular venue) is rejected, the same shall not be considered again and no correspondence in this regard shall be entertained by the Council. The grant offered cannot be utilized for any other purpose other than the purpose for which granted. Application should be submitted three months in advance.","Documents to be submitted for reimbursement claim: The claims for reimbursement in the prescribed format duly supported by the following relevant documents should be sent to AICTE through the Head of the Institution in the enclosed Performa within two months of the completion of the visit: Certified attested copy of passport indicating visa/immigration as proof of undertaking journey. Self-attested certificate for the journey performed. Statement of expenditure incurred against the amount of travel grant offered under different heads. Air-tickets of Air-India / Indian Airlines (properly legible and in original with original Boarding Pass). Certificate from Air-India indicating the shortest route to the venue approved. If journey is not performed by Air-India due to non-availability of flight official certificate from Air-India, stating that there is no flight in the concerned sector (either of Air India itself or in collaboration with some other Air-lines) on that particular date. Letter of acceptance of paper from the organizer of conference. Original receipt of Registration Fee paid. Copy of paper presented in conference. Voucher indicating the rate at which foreign currency is purchased. Travel documents/ certificate of participation from the concerned institutional agency. Progress report on the international conference participated along with outcome and benefits of the event stating scientific and technical activities undertaken during period in the prescribed format duly counter signed by Director/Registrar/Principal. Certificate from the head of the institution stating that the applicant has not availed the grant under travel grant scheme of AICTE during the last two years. Details of assistance received from and/ or facilities provided by other organization for the conference with documentary proof. The details of assistance received or facilities provided by the organizers of the conference or any other similar Indian/foreign agency. Certified copy of AICTE Extension of approval for current year. E-payment details in the prescribed proforma. Photographs of conference participated. ï»¿",
AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,Karnataka,Education & Learning,,Central,"Scholarship of â‚¹ 25,000/- per month.","Application form duly filled along with photograph. Documents issued by the foreign university conveying admission and the duration with start and end dates. Copy of passport and valid visa, with date of onward journey. Attested copy of the Mandate Form duly filled and signed by the Head of the College / Institute. Copy of the 'Undertaking' furnished to parent Institute in India. Date for onward journey. Authentication / Recommendations of the Parent Institute that the applicant faculty fulfils the eligibility criteria and his / her relieving. ï»¿",
"AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K,LADAKH AND NER)",Karnataka,Education & Learning,,Central,"Funding to Institutions: â‚¹5,00,000/- to the host University/Institution for conducting the training for the academic year. Disbursement of the Funds: The full amount of the grant sanctioned shall be released as advance to the University/Institution. The amount spent by the institute on the conduct of STTP shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the University/Institution on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc. The above said amount of grant shall be released on the basis of the Extension of Approval (EOA) issued by AICTE to the institute for the academic year. ï»¿ Training to Teachers/Staffs: Faculty training in the field of technical education with following type: Pedagogical Training. Subject related Training to teachers employed in disciplines: Engineering & Technology, Management, Pharmacy, Architecture etc. Training related to Moral Values, Ethics, Behavioural Sciences & Attitude etc. Training for teachers regarding orientation of newly admitted students. Training for supporting technical and administrative staff including Librarian.","Submission of documents by university/institution: The following mandatory relevant documents are required to be submitted by the university/institution within one month of the completion of the program: Original Statement of actual expenditure & Utilization Certificate in the prescribed proforma duly signed by the Head of the institution and countersigned by Registrar/Finance Officer/Govt. Auditor. In case of self-financing/private institutions, Statement of actual Expenditure & Utilization Certificate are required to be audited & signed and sealed by a Chartered Accountant endorsing the membership number and complete postal address. ï»¿ Feedback form in the prescribed proforma. Copy of the proceedings and completion report. ï»¿ For the Teachers Duly filled application form. Biodata and recent photograph. Curriculum vitae highlighting relevant teaching experience and qualifications. Statement of purpose explaining your interest in the chosen STTP topic. Recommendation letter from the Head of Department or Principal.",
AICTE-Swanath Scholarship Scheme For Students,Karnataka,Education & Learning,,Central,"NUMBER OF SCHOLARSHIPS A maximum of 2000 scholarships (1000 for Degree Students and 1000 for Diploma Students) will be awarded every year to eligible candidates as above. ï»¿ AMOUNT OF SCHOLARSHIP Rs. 50,000.00 per annum for every year of study i.e. maximum 4 years duration for the first year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. ï»¿ No other additional grant will be payable in lieu of hostel charges, medical charges, etc. In case the student is currently studying in the 2nd /3rd/4th year at degree level the duration of the scholarship will be reduced to 3/2/1 year respectively. Similarly, for students currently studying in the 2nd /3rd year at diploma level, the duration of the scholarship will be reduced to 2/1 year respectively.","A. For Orphan Candidates: (i) Death Certificates of both Father & Mother (if available), OR a certificate issued by Tehsildar / SDM as per enclosed format (Annexure â€“ I). (ii) Bonafide Certificate issued by the institution. (iii) 10+2 / equivalent and 10th Mark sheet for Degree Level (iv) 10th /equivalent Mark sheet for Diploma Level (v) Category Certificate (SC/ST/OBC-NCL) ï»¿ B. For Candidates whose either or both Parents Died due to Covid 19: (i) Death Certificate of Father/Mother or both explicitly mentioning that the death was due to Covid-19. (ii) If one parent (Father or Mother) is alive, the current year income certificate, explicitly mentioning that income of the family is less than â‚¹8,00,000 (issued by the Competent Authority). (iii) Bonafide Certificate issued by the institution. (iv) 10+2/equivalent and 10th Mark sheet for Degree Level (v) 10th /equivalent Mark sheet for Diploma Level (vi) Category Certificate (SC/ST/OBC-NCL) ï»¿ C. For Wards of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed) (i) Death Certificate. (ii) Shaheed Certificate issued by the Armed Forces/ Central Paramilitary Forces (iii) Bonafide Certificate issued by the institution. (iv) 10+2/equivalent and 10th Mark sheet for Degree Level (v) 10th /equivalent Mark sheet for Diploma Level (vi) Current year income certificate, explicitly mentioning that income of family less than â‚¹8,00,000, issued by Competent Authority. (vii) Category Certificate (SC/ST/OBC-NCL)",
AICTE-Technical Book Writing & Translation Scheme,Karnataka,Education & Learning,,Central,"Maximum funding for translation work and for original Technical Book Writing (Funding will be shared in case of multiple authors) shall be limited to : Original book writer for UG : â‚¹ 2,00,000/- Original book writer for Diploma : â‚¹ 1,50,000/- Reviewer for UG : â‚¹ 40,000/- Reviewer for Diploma : â‚¹ 30,000/- Translator for UG & Diploma: â‚¹ 1,00,000/- Reviewer of translated books in regional languages for UG & Diploma: â‚¹  20,000/- (In case of an author & co-author for one book, the amount will be split between the both).",Required details and documents: Institute Details. Details of the Writer of the book/Translator. Details of the Book to be Evaluated. Academic credentials of the book writer. Purpose/Benefits of writing/translating the book. Mandate Form (For Institutes / Colleges).,
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,Karnataka,Education & Learning,,Central,"Funding to the institution: â‚¹ 6,39,000/- per program. ï»¿ S.No. Head of expenditure Rate per head (in Rs.) Limit of funding (in Rs.) 1. Boarding & Lodging to the participants (Boarding + Lodging) @ â‚¹ 500/- 25 participant for 14 days (â‚¹  500x25x14days) â‚¹ 175,000.00/- 2. TA to outstation participants III AC/Actual Fare @ â‚¹ 4000/- per participant(â‚¹ 4000x25) â‚¹ 100,000.00/- 3. Honorarium to course Coordinator (lump sum) â‚¹ 25,000.00/- 4. Reading material to participants (including reprographic arrangements, office expenses, stationery, etc.) i) @â‚¹ 500 per person(â‚¹ 500x 25 participant ii) office expenses (lump sum) â‚¹ 12500+7500=20,000.00/- 5. Honorarium to Resource Persons (both from within and outside the training institution) including TA/DA as applicable. Honorarium to resource person @ (â‚¹ 3000/- per session) (3000x54 =162000) for 54 session + TA @â‚¹  2000/- and DA @ â‚¹ 500 Per person for 15 Persons â‚¹ 2,00,000.00/- 6. Sports accessories (Track upper and lower, T-shirt) @â‚¹ 1600 per participant for 25 participant(1600x25) â‚¹ 40,000.00/- 7. Official/ground assistant for 14 days @â‚¹ 1000 /-per person for 14 days (1000x14) â‚¹ 14,000.00/- 8. Inauguration and valedictory function, certificates, mementoes etc. ï»¿ â‚¹ 40,000.00/- 9. Miscellaneous Expenditure ï»¿ â‚¹ 25,000.00/- 10. Total Amount in Rs. ï»¿ â‚¹ 6,39,000/- ï»¿","Original Statement of actual expenditure & Utilization Certificate in the prescribed proforma duly signed by the Head of the institution and countersigned by Registrar/Finance Officer/Govt. Auditor, along with bills/vouchers/invoices. In case of self-financing/private institutions, Statement of actual Expenditure & Utilization Certificate are required to be audited & signed and sealed by a Chartered Accountant endorsing the membership number and complete postal address. Feedback forms duly signed by the participants indicating their contact details. Copy of the proceedings and completion report. Rail tickets/boarding passes. Other documents as required.",
ARAVANAIPPU,Karnataka,"Women and Child, Social welfare & Empowerment",,State,â‚¹1200 financial assistance to lactating mothers. *The selection is periodical and depends on the availability of funds.,"1. Aadhaar Card. 2. Residence Certificate from the Revenue Department. 3. Income Certificate from the Revenue Department. 4. Voter ID Card. 5. Passport-sized Photograph. 6. Declaration/Undertaking (if any). 7. Birth Certificate of the Girl Child. ï»¿ In the absence of an Aadhaar Card; the applicant is required to provide his/her Aadhaar Enrolment ID along with ANY ONE of the following documents - 1. Bank or Post Office Passbook with Photo. 2. Permanent Account Number (PAN) Card. 3. Passport. 4. Ration Card. 5. Voter Identity Card. 6. MGNREGA Card. 7. Kisan Photo Passbook. 8. Driving license issued by the Licensing Authority under the Motor Vehicles Act, 1988 (59 of 1988). 9. Certificate of identity having a photo of such person issued by a Gazetted Officer or a Tehsildar on an official letterhead. 10. Any other document as specified by the Department.",
ASEAN-India Research Training Fellowship,Karnataka,"Science, IT & Communications",,Central,"1.	 Full financial assistance will be provided to the selected Fellows which includes the following:- a) Round trip international airfare by lowest economy class and by the shortest route from the international airport in the home country of the applicant to the international airport nearest to the host institution in India; visa fees, overseas medical insurance, etc. b)	 A consolidated Fellowship amount of Indian Rupees (INR) 60,000/- per month. c)	One-time grant of INR 40,000/- as research contingency expenses, airport transfers, domestic travel for attending scientific /events, and field trips within India. d) Institutional overhead charges @ INR 2,500/- per month. e)	The allowance as in (a), (b) & (c) will be released to the host institution in India for disbursement to the Fellow. The host Institution will arrange appropriate accommodation for the Fellow on a payment basis. 2.	The selected Fellow is advised to take an appropriate policy for health insurance coverage for the period of stay in India. The cost of obtaining an overseas insurance policy is covered and reimbursable under AISTDF. 3.	 Individual Fellow, or his/ her government/institution, is required to bear the following costs: a) All expenses in the home country incidental to travel abroad, including expenditure incurred to obtain passport and visa and for medical examinations and vaccinations as may be required as well as other miscellaneous expenses such as internal travel to/ from the international airport of departure in the home country. b)	Salary and other related allowances in the home country, if applicable, during the Fellowship period. 4.	Neither the AISTDF nor the host institution in India will assume any responsibility whatsoever for the following expenditure of the Fellows during the tenure of the Fellowship: a) Compensation in the event of death, disability, or loss of personal belongings or compensation for damage caused by climatic or other conditions. b)	Travel and other costs incurred by the dependents, who might accompany the Fellows.","Documents to be submitted during application submission: 1.	C.V. of Applicant 2.	C.V. of Indian host 3.	Copy of relevant pages of valid Passport 4.	A copy of the endorsement letter from the present employer in the prescribed format ï»¿ 5.	A copy of the acceptance letter from any Indian scientist/ institution for hosting the applicant, if selected, prescribed format ï»¿ Documents to be submitted after fellowship approval: 1.	Letter of acceptance by Parent Institute ( Format ) 2.	Letter of consent by Indian Host Institute ( Format ) 3.	RTGS details of Indian Host Institute ( Endorsed by Institute) ( Format ) 4.	Itinerary options (Tickets to be booked by AI-RTF Secretariat) ( Format ) 5.	Joining notification (By Indian Host Institution) ( Format )",
Aahar Anudan Yojana,Karnataka,Social welfare & Empowerment,,State,"Financial Assistance of â‚¹1,000/- per month.","Identity Proof (e.g., Aadhaar Card) Passport-size Photograph Ration Card (optional) Bank Account Details (e.g., Copy of Bank Passbook) Caste Certificate (if applicable) Age Certificate Any other documents as required",
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Karnataka,"Agriculture,Rural & Environment",,State,"Affordable High-Quality Seeds: Farmers will receive Kufri Chipsona-I potato seeds at an estimated price of â‚¹4,000/- per quintal or the actual seed price, whichever is lower. Financial Assistance: Total â‚¹93,863/- per hectare (First year: â‚¹70,397/- and Second year: â‚¹23,466/-). ï»¿","For DBT Registration Process: Aadhaar Details (Should be linked with mobile number). Passport Size Photo. Farmer details. Land information. Bank account. For the Online Application of the Scheme: Passport Size Photo. ï»¿ Contract form ( for non-ryot farmers). Land-ownership/ revenue receipt (If applicable). Note: If the applicant's name is not clear in the land-ownership/ revenue receipt, it will be mandatory to attach the genealogy along with the land-ownership/ revenue receipt.",
Aam Aadmi Bima Yojana,Karnataka,Social welfare & Empowerment,,Central,"Life Insurance Coverage: Natural death: â‚¹30,000/- Death due to accident: â‚¹75,000/- Disability Benefits: Total permanent disability (loss of two eyes or two limbs) due to accident: â‚¹75,000/- Partial permanent disability (loss of one eye or one limb) due to accident: â‚¹37,500/- Scholarship: Two children of the beneficiary studying between 9th to 12th Standard shall receive â‚¹100/- per month (for each child half yearly â€“ on 1st July and on 1st January, each year). ï»¿ Annual Premium Amount: â‚¹200/- per member. Subsidy from Social Security Fund (SSF): 50% of the total premium (â‚¹100/-) is subsidized by the Government of India through the Social Security Fund (SSF). Premium Payment for Rural Landless Households (RLH): The remaining 50% of the premium (â‚¹100/-) is paid by the respective State Government or Union Territory. Premium Payment for Other Occupational Groups: The remaining 50% of the premium (â‚¹100/-) is covered by a combination of contributions from the Nodal Agency, the Member, and/or the State Government/Union Territory.",General Documents: Ration Card Extract from Birth Register. Extract from School Certificate. Voterâ€™s List. Identity card issued by reputed employer/Government Department. Unique Identification Card( Aadhar Card). For Death Claim: Original death certificate along with a copy duly attested. Fo Accident Claim: Copy of FIR Post Mortem Report Police Inquest Report Police Conclusion Report / Final Report of Police. ï»¿ ï»¿,
Aam Aadmi Bima Yojana (Maharashtra),Karnataka,"Social welfare & Empowerment, Banking,Financial Services and Insurance, Education & Learning",,State,"Natural Death Benefit: â‚¹30,000 is payable to the nominee in case of natural death before the terminal date. Accidental Death Benefit: â‚¹75,000 is payable to the nominee in case of death due to an accident. Permanent Total Disability (Accident): â‚¹75,000 is provided in case of permanent total disability caused by an accident. Loss of Two Eyes or Two Limbs (Accident): â‚¹75,000 is payable in case of loss of two eyes or two limbs in an accident. Loss of One Eye or One Limb (Accident): â‚¹37,500 is payable in case of loss of one eye or one limb in an accident. Scholarship Benefit: â‚¹100 per month is given as a scholarship to children of the insured studying in 9th to 12th standards. The scholarship is available for a maximum of two children per family.",Proof of Identity Proof of Age Address Proof Certificate of Landlessness Passport-Sized Photographs Income Certificate Application Form Self-Attestation Additional Documents (if applicable) ï»¿,
Aamar Dukan On Wheels,Karnataka,Business & Entrepreneurship,,State,"Benefits The beneficiary will keep the commodities allotted by the Department in case of AAMAR DUKAN on wheels in addition to other commodities. The selected beneficiaries of AAMAR DUKAN on wheels is allowed to take a profit margin of Rs. 2.00 to Rs. 3.00 per Kg./Per litre from consumers. The selected beneficiaries must abide by the direction of the Director, FCS&CA, Deputy Commissioners/Sub-Divisional Officers/Principal Secretaries of all Autonomous Councils. Any lapse on their part will be viewed seriously and legal action may be initiated also they will have to return the financial aid in addition to interest to the authority. The beneficiary should operate his shop as per the schedule specified by the authority. Any lapses in this regard will amount to the cancellation of his licence. The area of operation will be specified by the local authority for each beneficiary. The AAMAR DUKAN holders on wheels must display the displaying board of prices while distributing commodities. The AAMAR DUKAN holders on wheels will lift commodities from the selected wholesalers/stockists as per the direction of the respective Deputy Commissioners/Sub-Divisional Officers/Principal Secretaries of all Autonomous Councils. The beneficiary should operate his shop as per the schedule specified by the authority. Any lapses in this regard will amount to the cancellation of his licence. The AAMAR DUKAN on wheels should maintain the stock book and distribution register for inspecting authority. ï»¿","List of the required document Age proof. Address proof. Personal Identification: Aadhaar Card, Voter ID & Driving License. Educational Qualification. Experience certificate, if any. Photographs.",
Aapki Beti Hamari Beti,Karnataka,Social welfare & Empowerment,,State,"Keeping in view the aims of the Scheme, the Government will provide benefits/financial assistance to each girl child beneficiary. This will be provided in the following manner: All Scheduled Caste families whose first girl child is born on or after 22nd January 2015 shall be eligible to receive a one-time grant of â‚¹21,000/- only. All Below Poverty Line (BPL) families whose first girl child is born on or after 22nd January 2015 shall be eligible to receive a one-time grant of â‚¹21,000/- only. All families whose second girl child is born on or after 22nd January 2015, will receive â‚¹21000/- (One Time) irrespective of their caste, creed, religion, income, and number of sons. In special cases, when twin/multiple girls are born on or after 22nd January 2015 will receive â‚¹21000/- (One Time) per girl child in any family of the State of Haryana satisfying the eligibility conditions. All families whose second girl child is born on or before 21st January 2015, will receive â‚¹5000/- girl child per annum for five years irrespective of their caste, creed, religion, income, and number of sons. (This is applicable for those cases who were eligible for benefit under the Ladli scheme), In special cases, when twin/multiple girls are born on or before 21st January 2015 will receive â‚¹2500/- per girl child per annum for five years irrespective of their caste, creed, religion, income, and number of sons in any family of the State of Haryana satisfying the eligibility conditions. (This is applicable for those cases who were eligible for benefit under the Ladli scheme). The money is to be invested with LIC of India under the Scheme 'Aapki Beti Harnari Beti' in the name of the girl child beneficiary through her mother. In case, the mother is not alive then the money would be deposited in the name of the beneficiary girl child through the father. If both the parents are not alive then this money would be deposited in the name of the beneficiary girl child through her guardian. Note: The money shall be released within one month of submission of the completed application of the beneficiary through her mother/father/guardian. Withdrawal of Benefit: The benefit sanctioned under the scheme shall be withdrawn by the competent authority at any stage if it is found that it was sanctioned incorrectly or received by providing false information/fabricated documents. In case of wrong information, deliberately given by the applicant, he/she shall be liable for prosecution as per law. he investment made in the shape of a membership certificate under this scheme shall not be liable for attachment under any law. If the beneficiary dies after attaining the age of 18 years then the parents of the beneficiary will be eligible for receiving benefits. The beneficiary would not be eligible for the benefit under the scheme in case she gets married before the age of 18 years. Note: In case of the death of the beneficiary before 18 years of age, her enrolment as a beneficiary under the Scheme Aapki Beti Harnari Beti, would be cancelled with immediate effect, and funds invested against this enrolment would be taken back from Scheme Aapki Beti Hamari Beti with interest and deposited in the receipt Head of the Department.",Aadhaar Card- Girl(s)/Parents/Guardian Residence proof Caste Certificate Self-attested copy of the birth certificate Immunization card of the beneficiary Passport Size photographs of the beneficiary BPL Card (If applicable) Bank account details ï»¿,
Aapki Beti Yojana,Karnataka,"Education & Learning, Women and Child",,State,"Financial Assistance: â‚¹2,100/- per annum for girl students in classes 1 st to 8 th . â‚¹2,500/- per annum for girl students in classes 9 th to 12 th . Mode of Disbursement: Direct Benefit Transfer (DBT) to the bank account linked with Jan Aadhaar of the family head or the girl child.",Passport size photo of the applicant Identity proof of applicant Educational Certificates BPL Certificate Death Certificate of Parent(s) Jan Aadhaar Card of Family Head or the Girl Bank Account Passbook linked with Jan Aadhaar Any Other Document if Required,
Aastha Yojana,Karnataka,"Health & Wellness, Social welfare & Empowerment",,State,"Aastha cardholder families receive benefits similar to BPL families, including free medical treatment and ration supplies. Note: Aastha cardholders are entitled to benefits from all BPL-related schemes run by different state government departments.",Identity proof Domicile Certificate Disability Certificate Aadhaar Card Any Other Document if Required,
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Assistance of Interest Subsidy,Karnataka,Business & Entrepreneurship,,State,Substantial Interest Reduction: Interest Subsidy: @7% on the term loan. Capped Amount: A maximum of 1.2% of eligible fixed capital investment per annum for 10 years.,"Bank Certificate for the Claim Period. Bank/Financial Institute certified Term Loan Account statement for Claim Period. IEM Part â€“ B /IL /LOP of Industrial Undertaking. To be submitted in first claim only. Valid CCA obtained from GPCB (if applicable). First Sale Bill. To be submitted in first claim only. Purchase bill, Sale bill, and Electricity Bill for Last month of Claim Period. Attendance / Salary Register for the Last Month of Claim Period. Employment Statement for the Last Month of the claim Period in Prescribed Format. Details of Apprentice (If applicable). Valid Insurance Policy for Fixed Assets. No due Certificate from Previous Bank (in case of Take-over of Term Loan). Bank Sanction Letter from Bank taken over the Term Loan (If Applicable). Bank/Financial Institute certified Term Loan Account statement for take-over. Authority Letter duly certified with Board Resolution, Directors / Partners / Owner. (Authorised Person should be any Director/Partner/at-least Employee of the Company). Copy of Pan Card (To be submitted in first claim only). Copy of Cancelled Cheque (To be submitted in first claim only).",
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: EPF Reimbursement,Karnataka,Business & Entrepreneurship,,State,"Reimbursement: 100% reimbursement of employerâ€™s statutory EPF contribution. Incentive Ceiling: 12% of basic salary + DA or â‚¹1800/- per month, whichever is lower.","Provisional Eligibility Certificate issued under the Scheme (If Applicable). Final Eligibility Certificate issued under the Scheme (If Obtained). Proof of new UAN account for each employee for whom the assistance is to be claimed (one time for every unique UAN). Summary and Detailed Employment Statement. Attendance Register / Salary Register for last month of Claim Period. Salary Slip of all Employees for which EPF Reimbursement Claimed. Payments proof of EPF. Copy of Bank Statement for salary payment. Valid CCA from G.P.C.B. (If applicable). Attendance / Salary Register for the Last Month of Claim Period. Employment Statement for the Last Month of the claim Period (in Prescribed Format). Details of Apprentice (If applicable). Authority Letter duly certified with Board Resolution, Directors / Partners / Owner. (Authorised Person should be any Director/Partner/at-least Employee of the Company). Affidavit in prescribed format.",
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,Karnataka,Business & Entrepreneurship,,State,"Reimbursement: Eligible units will be reimbursed the full net SGST paid. Maximum limit: Reimbursement is capped at 0.9% of the eFCl value per annum. Long-term support: The scheme offers reimbursement for a period of 20 years, starting from the commencement of commercial production.","1. Registration Copy Under the Scheme. 2. Provisional Eligibility Certificate Under the Scheme 3. Final Eligibility Certificate Under the Scheme (If Obtained) 4. GST Registration with all Annexures 5. Certificate as per Annexure A (A1 to A4) duly signed by the authorised person of the unit and certified by Statutory Auditor (wherever applicable), Chartered Accountant or Goods & Service Tax Auditor. 6. Details of Sales and Purchase for the Period of Claim duly certified by the Chartered Accountant (Annexure B) 7. Affidavit (in Prescribed format as per Annexure C) - To be submitted with first claim only 8. Affidavit (in Prescribed format as per Annexure D) - To be submitted with every claim 9. CA Certificate for the claim period (in Prescribed format as per Annexure E) 10. CA Certified Credit Ledger Balance from Common portal of GST for the applied quarter 11. CA Certified Cash ledger from Common portal of GST for the applied quarter 12. GSTR-3B form duly signed and stamped by concerned Commercial Tax Officer 13. Authority Letter duly certified with Board Resolution, Directors / Partners / Owner - (Authorised Person should be any Director/Partner/at-least Employee of the Company) 14. Attendance / Salary Register for the Last Month of Claim Period 15. Employment Statement for the Last Month of the Claim Period in Prescribed Format 16. Details of Apprentice (If applicable) 17. Copy of any Purchase bill and any Sale bill for the month of Claim Period 18. Valid Insurance Policy for Fixed Assets 19. IEM Part-B / IL / LOP - To be submitted in first claim only 20. Valid CCA obtained from GPCB (if applicable). 21. Declaration regarding not having any other manufacturing units other than the incentivised unit for manufacturing the same product at any other location in the state. 22. Annual Audit Report for the applied Claim Period (in case of last quarter of Financial year).",
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of SGST Paid on Capital Goods,Karnataka,Business & Entrepreneurship,,State,SGST Reimbursement: Full reimbursement of SGST paid on capital goods for eligible units. Long-Term Support: Reimbursement provided in 20 equal annual installments after a year from commercial production.,"Registration Under the Scheme Provisional Eligibility Certificate Under the Scheme Final Eligibility Certificate Under the Scheme GST Registration with all Annexures Affidavit (in Prescribed format as per Annexure A) To be submitted in every claim CA Certificate for the claim period (in Prescribed format as per Annexure B) Authority Letter duly certified with Board Resolution, Directors / Partners / Owner. (Authorised Person should be any Director/Partner/at-least Employee of the Company) Valid Insurance Policy for Fixed Assets IEM Part-B / IL / LOP To be submitted in first claim only Valid CCA obtained from GPCB (if applicable). C.A. Certificate for Gross Fixed Capital Investment (In case of Expansion Only) To be submitted in first claim only Chartered Engineer Certificate regarding Existing Installed Capacity and Actual Installed Capacity of expansion Project (In case of Expansion Only) - To be submitted in first claim only PAN Card - To be submitted in first claim only Cancelled Cheque - To be submitted in first claim only",
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of Stamp Duty and Registration Fees,Karnataka,Business & Entrepreneurship,,State,Reimbursement: Eligible units can claim 100% reimbursement of stamp duty and registration charges paid to the Government of Gujarat for the purchase and/or lease of land meant for the project.,"Provisional Eligibility Certificate issued under the Scheme (If Applicable) Final Eligibility Certificate issued under the Scheme (If Obtained) Copy of Registered Sale deed/Lease Deed/Rent Deed/Agreement with applicable Certificate of Stamp-duty and Registration receipt Copy of Index-2 for Land Lay-out of the Project (Certified by Approved Civil Engineer/Architect) Authority Letter duly certified with Board Resolution, Directors / Partners / Owner. (Authorised Person should be any Director/Partner/at-least Employee of the Company",
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,Karnataka,Business & Entrepreneurship,,State,ï»¿ Category of Taluka General Thrust Category 1 Interest subsidy @ 7% on Term Loan for 10 years upto 1% of eFCI p.a. Interest subsidy @ 7% on Term Loan for 10 years upto 1.2% of eFCI p.a. Category 2 Interest subsidy @ 7% on Term Loan for 8 years upto 1% of eFCI p.a. Interest subsidy @ 7% on Term Loan for 10 years upto 1% of eFCI p.a. Category 3 Interest subsidy @ 7% on Term Loan for 6 years upto 1% of eFCI p.a. Interest subsidy @ 7% on Term Loan for 8 years upto 1% of eFCI p.a. ï»¿ Note : List of Taluka categories. ï»¿,"Bank Certificate for the Claim Period. Bank/Financial Institute certified Term Loan Account statement for Claim Period. First Sale Bill (To be submitted with first claim only). Purchase bill, Sale bill, Electricity Bill for Last month of Claim Period. Attendance / Salary Register for the Last Month of Claim Period. Employment Statement for the Last Month of the claim Period in Prescribed Format. Details of Apprentice (If applicable). Valid Insurance Policy for Fixed Assets. In case other bank has taken over the remaining term-loan, then sanction letter of bank. (If Applicable). No due certificate from previous bank (in case of Take-over of Term Loan). Bank/Financial Institute certified Term Loan Account statement for take-over. Authority Letter duly certified with Board Resolution, Directors / Partners / Owner. (Authorised Person should be any Director/Partner/at-least Employee of the Company). Pan Card. Cancelled Cheque.",
